39,-39,39,-39,39,-39,38,-38,38,-38,38,-38,38,-38,38,-38,38,-38,38,-38,38,-38,37,-37,37,-37,37,-37,34,-34,-1,0,4,0,0,-1,0,0,1,3,4,4,5,6,9,10,3,1
39,-39,39,-39,39,-39,39,-39,38,-39,38,-38,38,-38,38,-38,38,-38,38,-38,37,-35,32,-35,32,-35,32,-35,32,-35,-1,0,3,0,-1,-4,-6,-5,-5,-5,-3,-2,-4,-5,-8,8,4,0
39,-39,39,-39,38,-39,37,-38,37,-38,37,-38,37,-38,37,-38,34,-35,34,-35,34,-35,34,-32,31,-32,30,-32,30,-31,-1,0,-1,-2,-4,-2,0,0,1,-1,0,1,1,0,4,4,5,1
39,-39,39,-39,39,-39,39,-39,39,-39,39,-39,39,-39,36,-36,36,-36,36,-36,36,-36,36,-36,27,-33,27,-30,24,-30,-2,0,0,0,3,4,1,3,3,0,1,0,1,1,1,2,4,0
39,-39,39,-39,39,-39,38,-38,38,-38,35,-35,35,-35,35,-35,35,-35,35,-35,35,-35,35,-35,35,-32,35,-32,35,-32,-1,0,3,0,-1,-2,-1,-4,-3,-4,-4,-3,-4,-4,-3,4,4,1
39,-39,39,-39,39,-38,38,-38,38,-38,38,-38,38,-38,38,-38,38,-35,35,-35,35,-35,35,-35,35,-35,35,-35,35,-32,-1,0,-1,0,0,0,3,5,6,9,12,9,10,9,10,24,3,0
39,-39,39,-39,39,-38,36,-38,36,-38,35,-37,35,-37,35,-37,34,-36,31,-33,31,-33,31,-33,31,-33,31,-33,31,-33,-1,0,1,3,5,5,9,11,10,8,10,6,6,2,2,14,1,0
39,-39,39,-39,39,-39,39,-39,39,-39,39,-38,38,-29,29,-29,29,-29,29,-26,26,-26,26,-26,26,-26,26,-26,23,-23,-1,0,0,0,-1,0,2,0,0,0,0,1,0,1,2,1,7,1
39,-39,39,-39,38,-38,38,-38,38,-38,38,-38,38,-38,38,-38,38,-38,38,-38,38,-38,35,-35,35,-35,35,-35,35,-35,-1,0,0,-2,-1,-4,-4,-2,1,0,2,0,0,0,0,4,7,0
39,-39,39,-39,39,-39,39,-39,39,-36,36,-36,36,-36,36,-36,36,-36,36,-36,36,-36,36,-36,36,-36,36,-36,33,-36,-2,0,0,-2,-4,-4,-1,-1,-1,-1,-1,0,1,-2,-1,2,5,0
39,-39,39,-39,39,-39,39,-39,39,-39,39,-39,39,-39,39,-38,38,-38,38,-38,38,-38,38,-38,35,-35,35,-35,35,-35,-1,0,3,5,3,0,1,1,-1,-3,-1,0,0,0,1,4,5,0
